place_id,name,address,lat,lng,type
ChIJP-wgqbwvdTERveQw05H8tBc,Kiwooza Planet SSMC,"Saigon South Marina Club (SSMC), 9A Đ. Trần Văn Trà, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam",10.7201921,106.7163319,khu vui chơi
ChIJFYqG1ugvdTERit_GUZaafa0,LaBuBu Kids Cafe,"38 Số 1A, Khu dân cư Trung Sơn, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam",10.737293,106.6934122,khu vui chơi
ChIJD-EMZf0vdTERxbXLGAScors,Tinker Adventure Park,"7B Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam",10.7320328,106.7274524,khu vui chơi
ChIJFZ_uTAAvdTERvNUTOCKYltY,FunZone Adventure - SC VivoCity,"SC Vivo City, Đường Nguyễn Văn Linh, Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Vietnam",10.7299256,106.7035333,khu vui chơi
ChIJY3EaNK8vdTER-Ma6pUfwtqU,Timezone - Crescent mall,"Crescent Mall, Đ. Tôn Dật Tiên, Khu đô thị Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh 07000, Vietnam",10.7290836,106.7188731,khu vui chơi
ChIJp-SfCAAvdTERzLubTbe7EoI,Khu công viên giải trí D-Joy,"QPH6+8M4, Thủ Thiêm, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.7782612,106.7117114,khu vui chơi
ChIJLwB-bsQvdTERXLdP2IuZvt4,Tinker Box,"10/2 Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7883071,106.7030166,khu vui chơi
ChIJtQmYKHMndTER2XoWUV0cpe8,Khu vui chơi trẻ em Woodhouse,"785 Nguyễn Duy Trinh, P, Thủ Đức, Thành phố Hồ Chí Minh 716200, Vietnam",10.7909188,106.7892643,khu vui chơi
ChIJ7XDZAfEndTER72QR8RmI_wY,Khu Vui Chơi Trẻ Em SunKids | Khu Vui Chơi Quận 2 | Khu Vui Chơi Trẻ Em Thủ Đức,"537/10 Nguyễn Duy Trinh, Bình Trưng Đông, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",10.789296,106.7705834,khu vui chơi
ChIJcwkcFvMpdTERUsTI3mzTV3k,HV Private Gym,"98l Nguyễn Thị Búp, Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh 71500, Vietnam",10.8722594,106.6338661,khu vui chơi
ChIJD68OB2kvdTERrWb_ff40IoM,KHU VUI CHƠI BABALOO,"11 Đường số 4 Valora, Mizuki Park, Thành phố Hồ Chí Minh, 700000, Vietnam",10.715199,106.6643229,khu vui chơi
ChIJ15qqWQAtdTER0KGR4HGvRBc,Khu vui chơi TIỂU LONG NHI,"109 Đ. Nguyễn Văn Yến, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7641915,106.6265786,khu vui chơi
ChIJCdzLBRYvdTERpsMyNScNwPE,Bui Vien Walking Street,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.767351,106.6938836,phố đi bộ
ChIJoz2M2EgvdTERLFRcCOtuC70,Ngon Restaurant,"160 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7772532,106.6995584,quán ăn
ChIJexKfZ7UvdTERZT817paHAJc,Tám Riêu - Lý Chính Thắng,"140a Lý Chính Thắng, Phường 14, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",10.7872691,106.6847083,quán ăn
ChIJLesJZSMpdTERp0uoginT6kg,MỘC Riêu & Nướng,"9A Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8079312,106.6663752,quán ăn
ChIJQfzFvJ8rdTERLm183YcWT5c,"GU Bình Dân - Lẩu gà lá é - Quán ăn nhậu bình dân Tây Thạnh, Tân Phú","99 Đường Tây Thạnh, Khu Phố 3, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.8158253,106.6251249,quán ăn
ChIJ5wwLflQvdTERk9v7KPgIlrQ,"Bò Tơ Quán Mộc 43-45 Nguyễn Thị Thập ,P.Tân Hưng","45 Đ. Nguyễn Thị Thập, Khu đô thị Him Lam, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam",10.740461,106.6987225,quán ăn
ChIJeYQeeybQcDERHn1u2doTX4k,Lò đất BBQ Gò Vấp,"922 Đ. Quang Trung, Phường 8, Gò Vấp, Thành phố Hồ Chí Minh 710000, Vietnam",10.838492,106.6506997,quán ăn
ChIJW3EIHQApdTER2BsZM9AMQXk,Ngọn Lửa Busan BBQ-Buffet 한국식 바비큐,"99 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8286505,106.6321206,quán ăn
ChIJydiqMDgvdTERxllzoN0cLwM,Quán Ngon 138,"138 Nam Kỳ Khởi Nghĩa, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.7775742,106.6975438,quán ăn
ChIJzZmzw0gvdTERMd1Mj0vWl6g,Cloud Nine Restaurant Sai Gon,"180-188 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.7731993,106.6956783,quán ăn
ChIJ1ZNcBMMpdTERFQzljSjJbxA,Ốc đêm Chú Đỉnh 2 - 48 Phan Huy Ích - Tân Bình,"48 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh 72100, Vietnam",10.8265068,106.6312878,quán ăn
ChIJlSKGtJ0pdTER35boLxvTdK4,Quán Cua Ngon - Hương Vị Đất Mũi,"250 Đ. Nguyễn Thái Bình, Phường 12, Tân Bình, Thành phố Hồ Chí Minh 72510, Vietnam",10.7959329,106.6510007,quán ăn
ChIJvUruN3EvdTERPc7tGgxjQaE,ĂN NGON,"26 Đ. Nguyễn Trường Tộ, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Vietnam",10.7657095,106.7045849,quán ăn
